Food Establishment Name,Food Establishment Street Address,Food Establishment City,Food Establishment Zip Code,Inspection Date,Inspection Type,Violation Code,Violation Description,Geocoded Location
Iron Hill Brewery LLC,19791 Coastal Hwy,Rehoboth Beach,19971.0,06/27/2023,Routine,2-102.12,Certified Food Protection Manager,"19791 Coastal Hwy
Rehoboth Beach, DE 19971
(38.716578013, -75.109523989)"
Iron Hill Brewing & Restaurant,620 Justison St,Wilmington,19801.0,10/26/2022,Routine,2-102.11,Demonstration of Knowledge,"620 Justison St
Wilmington, DE 19801
(39.733452988, -75.560455041)"
Isaac's MOB,270 Bailey Street,Wyoming,8098.0,02/23/2022,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","270 Bailey Street
Wyoming, DE 8098
(39.64338399, -75.33201901)"
Italiano's Pizzeria,800 W 4th St Suite 302,Wilmington,19801.0,09/19/2022,Routine,2-102.11,Demonstration of Knowledge,"800 W 4th St Suite 302
Wilmington, DE 19801
(39.742560009, -75.559320969)"
Ivy,136 Dagsworthy Street,Dewey  Beach,19971.0,07/11/2023,Routine,6-202.15,"Outer Openings, Protected","136 Dagsworthy Street
Dewey  Beach, DE 19971
(38.693768969, -75.074492655)"
J & C Cuisine,290 University Plaza,Newark,19702.0,12/18/2023,Follow-up,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","290 University Plaza
Newark, DE 19702
(39.666853989, -75.667925959)"
J & H Seafood,110 N Dupont Hwy,New Castle,19720.0,09/06/2023,Routine,2-301.14,When to Wash,"110 N Dupont Hwy
New Castle, DE 19720
(39.666174007, -75.600527998)"
J & H Seafood At Nc Farmers Market,110 N Dupont Hwy,New Castle,19720.0,07/14/2022,Routine,2-102.12,Certified Food Protection Manager,"110 N Dupont Hwy
New Castle, DE 19720
(39.666174007, -75.600527998)"
J & J Bagel,28 Georgetown Plaza,Georgetown,19947.0,02/27/2023,Routine,6-301.11,"Handwashing Cleanser, Availability","28 Georgetown Plaza
Georgetown, DE 19947
(38.679754007, -75.396376017)"
J & J Bagels LLC,28 Georgetown Plaza,Georgetown,19947.0,02/04/2022,Routine,6-303.11,Intensity-Lighting,"28 Georgetown Plaza
Georgetown, DE 19947
(38.679754007, -75.396376017)"
J & J Corporate Cafe,87 Read's Way,New Castle,19720.0,09/20/2022,Complaint,6-301.11,"Handwashing Cleanser, Availability","87 Read's Way
New Castle, DE 19720
(39.685909995, -75.613035977)"
J & R Super Market,1516 W 4th St,Wilmington,19805.0,07/06/2022,Routine,2-102.12,Certified Food Protection Manager,"1516 W 4th St
Wilmington, DE 19805
(39.746811981, -75.567499025)"
J Ralph McIlvaine Elementary School,11 E Walnut St,Magnolia,19962.0,04/07/2022,Routine,5-202.12,"Handwashing Sinks, Installation","11 E Walnut St
Magnolia, DE 19962
(39.071857007, -75.474262003)"
Jack's on Main,314 Main Street,Clayton,19938.0,12/29/2022,Routine,2-102.12,Certified Food Protection Manager,"314 Main Street
Clayton, DE 19938
(39.290762981, -75.633839022)"
Jackson Inn,101 N Dupont Rd,Wilmington,19807.0,04/27/2022,Routine,6-501.19,Closing Toilet Room Doors,"101 N Dupont Rd
Wilmington, DE 19807
(39.752959981, -75.589016963)"
Jade Garden,386 Wal Mart Dr Store # 6,Camden,19934.0,07/26/2022,Routine,3-301.11,Preventing Contamination from Hands,"386 Wal Mart Dr Store # 6
Camden, DE 19934
(39.100218014, -75.546601012)"
Jade Palace,1300 Lancaster Ave,Wilmington,19805.0,05/16/2022,Routine,2-102.11,Demonstration of Knowledge,"1300 Lancaster Ave
Wilmington, DE 19805
(39.743124992, -75.565960023)"
Jake's Way Back Burgers,645 S Bay Rd,Dover,19901.0,01/26/2022,Routine,6-301.12,Hand Drying Provision,"645 S Bay Rd
Dover, DE 19901
(39.150715, -75.503321977)"
Jakes Wayback Burgers,122 E Glenwood Ave,Smyrna,19977.0,10/03/2023,Routine,4-202.15,Can Openers,"122 E Glenwood Ave
Smyrna, DE 19977
(39.3043649, -75.609358553)"
Jake's Wayback Burgers,250 S Main St #10,Newark,19711.0,08/26/2022,Complaint,6-501.111,Controlling Pests,"250 S Main St #10
Newark, DE 19711
(39.677408985, -75.765101973)"
Jakes's Wayback Burgers,568 West Main Street,Middletown,19709.0,10/21/2022,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","568 West Main Street
Middletown, DE 19709
(39.447172982, -75.728848984)"
Jalisco Mexican Restaurant & Store,1722 W Gilpin Drive,Wilmington,19805.0,03/14/2023,Routine,2-102.12,Certified Food Protection Manager,"1722 W Gilpin Drive
Wilmington, DE 19805
(39.745292007, -75.610313032)"
Jam Bistro,21 Baltimore Ave,Wyoming,19971.0,02/04/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"21 Baltimore Ave
Wyoming, DE 19971
(38.717608987, -75.078465014)"
Jam Rock Kulture Cafe,18 Commonwealth Boulevard,New Castle,19720.0,08/01/2022,Routine,2-102.12,Certified Food Protection Manager,"18 Commonwealth Boulevard
New Castle, DE 19720
(39.678801009, -75.571662986)"
Jamaican Cafe Cuisine,1643 Pulaski Hwy,Bear,19701.0,11/17/2022,Routine,6-301.12,Hand Drying Provision,"1643 Pulaski Hwy
Bear, DE 19701
(39.620177015, -75.693984961)"
Jamba Juice,5613 Concord Pike,Wilmington,19803.0,07/18/2022,Routine,4-602.12,Cooking and Baking Equipment,"5613 Concord Pike
Wilmington, DE 19803
(39.83370801, -75.541011037)"
James Street Tavern,2 W Market St,Wilmington,19804.0,01/26/2022,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","2 W Market St
Wilmington, DE 19804
(39.713588003, -75.609697968)"
James T Vaughn Correctional Center,1181 Paddock Road,Smyrna,19977.0,11/03/2022,Routine,6-501.11,"Repairing-Premises, Structures, Attachments, and Fixtures-Methods","1181 Paddock Road
Smyrna, DE 19977
(39.334814995, -75.602996971)"
Janssen's Market LLC,3801 Kennett Pike,Greenville,19807.0,01/05/2023,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"3801 Kennett Pike
Greenville, DE 19807
(39.77753899, -75.595908982)"
Jasmine Asian Cuisine,3618 Concord Pike,Wilmington,19803.0,01/06/2022,Routine,3-301.11,Preventing Contamination from Hands,"3618 Concord Pike
Wilmington, DE 19803
(39.804249015, -75.550067013)"
Java 101 Fueled by Dough Bar,21179 College Drive,Georgetown,19947.0,10/30/2023,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","21179 College Drive
Georgetown, DE 19947
(38.696065987, -75.407153971)"
Java Bean Cafe,3533 Philadelphia Pike,Claymont,19703.0,01/12/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"3533 Philadelphia Pike
Claymont, DE 19703
(39.802927021, -75.457667008)"
Jay Vending @ Delaware Seashore State Park,36839 Coastal Hwy,Fenwick Island,19944.0,07/19/2022,Routine,6-301.12,Hand Drying Provision,"36839 Coastal Hwy
Fenwick Island, DE 19944
(38.471138881, -75.05145393)"
Jay Vending @ Tower Rd,Towers Road Ocean Day Area Snack Ba,Wyoming,19971.0,07/19/2022,Routine,3-307.11,Miscellaneous Sources of Contamination,"Towers Road Ocean Day Area Snack Ba
Wyoming, DE 19971
(39.102801604, -75.67576946)"
Jazzman's Sodexo @ A I Dupont Hosp,1600 Rockland Rd,Wilmington,19803.0,11/07/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"1600 Rockland Rd
Wilmington, DE 19803
(39.779299986, -75.555386001)"
Jd Shuckers,11 Peddler's Village,Lewes,19958.0,03/23/2023,Routine,4-501.12,Cutting Surfaces,"11 Peddler's Village
Lewes, DE 19958
(38.74222, -75.15077)"
Jd Shuckers Georgetown,21710 Roth Avenue,Georgetown,19947.0,04/18/2022,Routine,6-301.11,"Handwashing Cleanser, Availability","21710 Roth Avenue
Georgetown, DE 19947
(38.698833985, -75.403695011)"
Jeenwong's Thai Cuisine,3 South Orange Street,Wilmington,19801.0,02/07/2022,Routine,2-102.11,Demonstration of Knowledge,"3 South Orange Street
Wilmington, DE 19801
(39.737283015, -75.554776972)"
Jeff's Taproom,416 Market Street,Bridgeville,19933.0,06/14/2022,Routine,7-209.11,Storage-Other Personal Care Items,"416 Market Street
Bridgeville, DE 19933
(38.742621005, -75.605600977)"
Jennie Smith Elementary School,142 Brennen Dr,Newark,19713.0,03/08/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"142 Brennen Dr
Newark, DE 19713
(39.672474013, -75.710096991)"
Jenny's Fry Corner,309 West 7th Street,Wilmington,19801.0,05/09/2022,Routine,2-103.11,Person-In-Charge-Duties,"309 West 7th Street
Wilmington, DE 19801
(39.743848015, -75.552285032)"
Jerry Deen's,801 East 7th Street,Wilmington,19801.0,05/17/2022,Routine,2-102.12,Certified Food Protection Manager,"801 East 7th Street
Wilmington, DE 19801
(39.739205991, -75.540972983)"
Jerry Deens Food Truck,6 East 3rd Street apt 502,Wilmington,19801.0,08/10/2022,Routine,4-203.12,"Temperature Measuring Devices, Ambient Air and Water-Accuracy","6 East 3rd Street apt 502
Wilmington, DE 19801
(39.739429997, -75.551323963)"
Jersey Mike's,1004 Bunker Hill Road Unit D,Middletown,19709.0,05/03/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"1004 Bunker Hill Road Unit D
Middletown, DE 19709
(39.448639019, -75.730614968)"
Jersey Mike's Sub,32 East Street,Camden,19934.0,05/26/2023,Routine,5-501.17,"Toilet Room Receptacle, Covered","32 East Street
Camden, DE 19934
(39.111928098, -75.539692286)"
Jersey Mikes Subs,22822 Sussex Hwy Unit 18,Seaford,19973.0,04/24/2023,Routine,7-102.11,Common Name-Working Containers,"22822 Sussex Hwy Unit 18
Seaford, DE 19973
(38.664822988, -75.595505981)"
Jersey Mike's Subs,28662 DuPont Blvd Suite C,Millsboro,19966.0,02/09/2022,Routine,2-102.12,Certified Food Protection Manager,"28662 DuPont Blvd Suite C
Millsboro, DE 19966
(38.575149993, -75.287204997)"
Jessop's Tavern,114 Delaware St,New Castle,19720.0,03/07/2022,Routine,5-203.11,Handwashing Sinks-Numbers and Capacities,"114 Delaware St
New Castle, DE 19720
(39.658856983, -75.563322993)"
Jewish Community Center,101 Garden Of Eden Rd,Wilmington,19803.0,01/26/2023,Routine,4-602.11,Equipment Food-Contact Surfaces and Utensils-Frequency,"101 Garden Of Eden Rd
Wilmington, DE 19803
(39.810378994, -75.554326026)"
Jimena's Cocina Mexicana,807 West Newport Pike,Wilmington,19804.0,03/02/2022,Routine,3-301.11,Preventing Contamination from Hands,"807 West Newport Pike
Wilmington, DE 19804
(39.714412992, -75.618143992)"
Jimmy John's,824 Market St,Wilmington,19801.0,08/09/2023,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","824 Market St
Wilmington, DE 19801
(39.744073991, -75.548265993)"
Jimmy's Bar & Grille Of Dewey,1907 Coastal Hwy,Dewey  Beach,19971.0,08/04/2023,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","1907 Coastal Hwy
Dewey  Beach, DE 19971
(38.694767001, -75.07541199)"
Jimmy's Kitchen The House Of Chipped Beef,Ocean Bay Plaza Units 6 A & B,Fenwick Island,19944.0,09/01/2022,Routine,6-301.12,Hand Drying Provision,"Ocean Bay Plaza Units 6 A & B
Fenwick Island, DE 19944
(38.462879995, -75.052255013)"
Jing Fong Restaurant,2089 Philadelphia Pike,Claymont,19703.0,02/18/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"2089 Philadelphia Pike
Claymont, DE 19703
(39.789075004, -75.474014988)"
Jireh's Bakery,113 Market St,Bridgeville,19933.0,03/28/2022,Routine,6-501.16,Drying Mops,"113 Market St
Bridgeville, DE 19933
(38.74358199, -75.600268997)"
JJ's Bar & Grill,18766 John J Williams HWY Rehoboth,Rehoboth Beach,19971.0,02/02/2022,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","18766 John J Williams HWY Rehoboth
Rehoboth Beach, DE 19971
(38.730382001, -75.135959003)"
Joe's Market La Mexicana Tienda Y Taqueria,118 North Race Street,Georgetown,19947.0,02/02/2022,Routine,4-602.13,Nonfood Contact Surfaces,"118 North Race Street
Georgetown, DE 19947
(38.692870009, -75.386571035)"
John Bassett Moore Intermediate School,20 West Frazier Street,Smyrna,19977.0,11/04/2022,Routine,3-501.18,"Ready-To-Eat Time/Temperature Control for Safety Food, Disposition","20 West Frazier Street
Smyrna, DE 19977
(39.298462011, -75.605123963)"
John M Clayton School,252 Clayton Ave,Frankford,19945.0,10/17/2022,Routine,4-501.11,Good Repair and Proper Adjustment-Equipment,"252 Clayton Ave
Frankford, DE 19945
(38.536114003, -75.23688399)"
John R Downes School,220 Casho Mill Rd,Newark,19711.0,10/24/2023,Routine,4-501.11,Good Repair and Proper Adjustment-Equipment,"220 Casho Mill Rd
Newark, DE 19711
(39.683461012, -75.776657013)"
Johnnie's Dog House and Chicken Shack,3401 Concord Pike,Wilmington,19803.0,12/13/2023,Routine,4-501.11,Good Repair and Proper Adjustment-Equipment,"3401 Concord Pike
Wilmington, DE 19803
(39.802200016, -75.547913031)"
Jonathan's Landing Grille,1309 Ponderosa Drive,Magnolia,19962.0,08/24/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"1309 Ponderosa Drive
Magnolia, DE 19962
(39.09345298, -75.473494975)"
Joseph E Johnson Jr School,2100 Gilpin Avenue,Wilmington,19806.0,10/10/2022,Routine,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking","2100 Gilpin Avenue
Wilmington, DE 19806
(39.761990015, -75.565936973)"
Joseph Mcvey Elem School,908 Janice Dr,Newark,19713.0,11/17/2023,Routine,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking","908 Janice Dr
Newark, DE 19713
(39.655352007, -75.749079965)"
Jose's Border Cafe,483 Stanton-christiana Road,Newark,19713.0,02/15/2023,Routine,2-301.14,When to Wash,"483 Stanton-christiana Road
Newark, DE 19713
(39.694644986, -75.653301969)"
Joy Garden,232 Suburban Drive,Newark,19711.0,10/17/2023,Routine,2-102.12,Certified Food Protection Manager,"232 Suburban Drive
Newark, DE 19711
(39.668201003, -75.77604899)"
Joy Luck Restaurant,570 Peoples Plaza,Newark,19702.0,12/06/2023,Routine,6-202.15,"Outer Openings, Protected","570 Peoples Plaza
Newark, DE 19702
(39.602108984, -75.74516)"
Joyful Garden,829 North Tatnall Street,Wilmington,19801.0,01/18/2022,Complaint,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","829 North Tatnall Street
Wilmington, DE 19801
(39.745093984, -75.551233019)"
JP Morgan De Cafe,880 Powder Mill Rd,Wilmington,19803.0,03/22/2022,Routine,4-602.13,Nonfood Contact Surfaces,"880 Powder Mill Rd
Wilmington, DE 19803
(39.783020001, -75.54928297)"
Jpmc - 1cc,301 N Walnut St 12th Fl,Wilmington,19801.0,01/13/2022,Routine,3-501.19,Time as a Public Health Control,"301 N Walnut St 12th Fl
Wilmington, DE 19801
(39.738967987, -75.549501989)"
Jpmc - 3cc Coffee Shop,201 N Walnut St,Wilmington,19801.0,08/11/2022,Routine,5-501.17,"Toilet Room Receptacle, Covered","201 N Walnut St
Wilmington, DE 19801
(39.738246011, -75.550047986)"
Jpmc - Iron Hill,4041 Ogletown Rd,Newark,19713.0,11/02/2023,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","4041 Ogletown Rd
Newark, DE 19713
(39.679982983, -75.692181008)"
Jpmc 3cc,201 N Walnut St 7th Floor,Wilmington,19801.0,01/13/2022,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","201 N Walnut St 7th Floor
Wilmington, DE 19801
(39.738246011, -75.550047986)"
Jpmc-mcc Main Ops,500 Stanton Christiana Rd Ops 1,Newark,19713.0,01/25/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"500 Stanton Christiana Rd Ops 1
Newark, DE 19713
(39.693649006, -75.647721968)"
JP's on the Wharf,201 Hubbard Street,Frederica,19946.0,06/16/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","201 Hubbard Street
Frederica, DE 19946
(39.05772998, -75.398853959)"
JR's Seafood Shack,1500 Coastal Hwy #1,Fenwick Island,19944.0,12/20/2023,Routine,6-301.12,Hand Drying Provision,"1500 Coastal Hwy #1
Fenwick Island, DE 19944
(38.464803998, -75.052372988)"
Juice Fresh Lewes,18388 Coastal Highway Unit 10,Lewes,19958.0,02/15/2022,Routine,3-307.11,Miscellaneous Sources of Contamination,"18388 Coastal Highway Unit 10
Lewes, DE 19958
(38.739745006, -75.147197039)"
Juice It,3842b Kennett Pike,Greenville,19807.0,09/14/2022,Routine,2-102.12,Certified Food Protection Manager,"3842b Kennett Pike
Greenville, DE 19807
(39.776573675, -75.596399287)"
JUICEBOX,3 Town Road,Ocean View,19970.0,05/02/2022,Routine,2-102.12,Certified Food Protection Manager,"3 Town Road
Ocean View, DE 19970
(38.544140923, -75.083080021)"
Juicebox Bayside,31264 Americana Prwy,Selbyville,19975.0,04/12/2022,Routine,2-102.12,Certified Food Protection Manager,"31264 Americana Prwy
Selbyville, DE 19975
(38.466715994, -75.113809991)"
Juicy World,110 N Dupont Hwy,New Castle,19720.0,06/17/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","110 N Dupont Hwy
New Castle, DE 19720
(39.666174007, -75.600527998)"
Jumbo China,22976 Sussex Highway,Seaford,19973.0,02/07/2022,Routine,3-305.11,Food Storage-Preventing Contamination from the Premises,"22976 Sussex Highway
Seaford, DE 19973
(38.659289004, -75.596835015)"
Jungle Jim's Inc,36944 Country Club Rd,Rehoboth Beach,19971.0,07/15/2022,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","36944 Country Club Rd
Rehoboth Beach, DE 19971
(38.711295989, -75.103564037)"
Just Hooked Restaurant,1500 Coastal Hwy,Fenwick Island,19944.0,03/14/2022,Routine,6-301.11,"Handwashing Cleanser, Availability","1500 Coastal Hwy
Fenwick Island, DE 19944
(38.464803998, -75.052372988)"
Just In Thyme Restaurant,38163 Robinson Drive,Rehoboth Beach,19971.0,02/20/2023,Routine,4-602.13,Nonfood Contact Surfaces,"38163 Robinson Drive
Rehoboth Beach, DE 19971
(38.704608241, -75.085099588)"
Just To Serve You De,1828 W 11th St,Wilmington,19805.0,04/06/2022,Routine,2-102.11,Demonstration of Knowledge,"1828 W 11th St
Wilmington, DE 19805
(39.754594997, -75.567548981)"
Just Waffles Bae,132 Christiana Mall,Newark,19702.0,06/30/2022,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","132 Christiana Mall
Newark, DE 19702
(39.678522018, -75.65204703)"
K & D Inc Dba In The Dog House,Lowes Of Lewes Parking Lot 5points,Lewes,19958.0,02/04/2022,Routine,5-205.15,System Maintained in Good Repair,"Lowes Of Lewes Parking Lot 5points
Lewes, DE 19958
(38.74222, -75.15077)"
K & K Gas & Deli,30058 John J Williams Hwy,Millsboro,19966.0,12/05/2022,Complaint,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking","30058 John J Williams Hwy
Millsboro, DE 19966
(38.595200008, -75.29151296)"
K&K Mart,30425 Seaford Road,Laurel,19956.0,05/03/2022,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","30425 Seaford Road
Laurel, DE 19956
(38.566023986, -75.571588974)"
K&R International Restaurant,412 North Dupont Street,Wilmington,19805.0,03/29/2022,Routine,2-102.12,Certified Food Protection Manager,"412 North Dupont Street
Wilmington, DE 19805
(39.748142986, -75.568942975)"
Kaan's Bakery,314 Wilson Hwy,Millsboro,19966.0,04/05/2022,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","314 Wilson Hwy
Millsboro, DE 19966
(38.587304004, -75.290668986)"
Kabab and Curry,4704 Limestone Road,Wilmington,19808.0,03/15/2023,Routine,3-501.13,Thawing,"4704 Limestone Road
Wilmington, DE 19808
(39.739240985, -75.692703033)"
Kabab Falafel Addiction,19470 Coastal Highway #15,Rehoboth Beach,19971.0,06/27/2023,Routine,2-102.12,Certified Food Protection Manager,"19470 Coastal Highway #15
Rehoboth Beach, DE 19971
(38.72034199, -75.119817972)"
Kabab Korner,706 A N Dupont Hwy,Dover,19901.0,07/27/2022,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","706 A N Dupont Hwy
Dover, DE 19901
(39.179140003, -75.528429968)"
Kacey's Kitchen (MOB),133 North Hunter Forge Road,Newark,19713.0,03/20/2023,Follow-up,5-205.15,System Maintained in Good Repair,"133 North Hunter Forge Road
Newark, DE 19713
(39.654294001, -75.77542898)"
Kaffe Karma,342 Buckley Mill Rd,Wilmington,19805.0,03/03/2023,Routine,2-102.12,Certified Food Protection Manager,"342 Buckley Mill Rd
Wilmington, DE 19805
(39.759849684, -75.601588936)"
Kaisy's Delights,1548 Savannah Road,Lewes,19958.0,02/16/2023,Routine,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking","1548 Savannah Road
Lewes, DE 19958
(38.751853001, -75.162302989)"
Kaisy's Delights LLC,101 Wellness Way,Milford,19963.0,08/24/2022,Routine,8-304.11,Responsibilities of the Permit Holder,"101 Wellness Way
Milford, DE 19963
(38.882466019, -75.392969025)"
Kalbi Asian Bistro,2011 Kirkwood Highway,Elsmere,19805.0,12/12/2023,Routine,2-102.12,Certified Food Protection Manager,"2011 Kirkwood Highway
Elsmere, DE 19805
(39.738854999, -75.608681997)"
Kam Po Garden,117 Greenbank Rd,Wilmington,19808.0,02/17/2023,Routine,6-301.12,Hand Drying Provision,"117 Greenbank Rd
Wilmington, DE 19808
(39.738888987, -75.624399993)"
Kampo Garden,723 N King St,Wilmington,19801.0,12/29/2021,Follow-up,6-501.111,Controlling Pests,"723 N King St
Wilmington, DE 19801
(39.743029019, -75.548751976)"
Karibbean Delight Restaurant 2,1030 S Market St,Wilmington,19801.0,03/17/2022,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","1030 S Market St
Wilmington, DE 19801
(39.72172901, -75.55530302)"
Karibbean Grill & BBQ (MOBILE),587 Carrington Drive,Dover,19904.0,08/24/2022,Routine,5-202.12,"Handwashing Sinks, Installation","587 Carrington Drive
Dover, DE 19904
(39.240472987, -75.593129962)"
Kathy's Crab House & Family Restaurant,107 Fifth St,Delaware City,19706.0,10/24/2023,Routine,4-501.112,"Mechanical Warewashing Equipment, Hot Water Sanitization Temperatures","107 Fifth St
Delaware City, DE 19706
(39.570551999, -75.591786008)"
Kati Roll Wala,1313 North Market Street/ The Chanc,Wilmington,19801.0,01/05/2023,Routine,2-102.12,Certified Food Protection Manager,"1313 North Market Street/ The Chanc
Wilmington, DE 19801
(39.74903, -75.546272022)"
Kc's Pizza,784 Old Baltimore Pike,Newark,19702.0,12/21/2021,Follow-up,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","784 Old Baltimore Pike
Newark, DE 19702
(39.643411985, -75.723629992)"
Keene Elementary School,200 Cpl Stephen J Ballard Way,Newark,19702.0,11/04/2022,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","200 Cpl Stephen J Ballard Way
Newark, DE 19702
(39.604716331, -75.728961201)"
Kee's Cookie & Cupcakes,306 Main Street,Clayton,19938.0,11/09/2022,Routine,2-301.14,When to Wash,"306 Main Street
Clayton, DE 19938
(39.290948012, -75.633641042)"
Kelly's Logan House,1701 Delaware Avenue,Wilmington,19806.0,12/02/2022,Routine,6-303.11,Intensity-Lighting,"1701 Delaware Avenue
Wilmington, DE 19806
(39.758281987, -75.562396038)"
Kenedougou Grill,311 North King Street,Wilmington,19801.0,07/07/2022,Routine,8-301.11,Prerequisite for Operation,"311 North King Street
Wilmington, DE 19801
(39.739894019, -75.550745025)"
Kennedy Fried Chicken,3010 Unit B Nmarket Street,Wilmington,19802.0,05/24/2023,Routine,2-102.12,Certified Food Protection Manager,"3010 Unit B Nmarket Street
Wilmington, DE 19802
(39.75628701, -75.531044032)"
Kent Co Regional Sports Complex #1 Concession,4000 Bay Rd,Frederica,19946.0,03/29/2022,Routine,4-302.12,Food Temperature Measuring Devices,"4000 Bay Rd
Frederica, DE 19946
(38.994886996, -75.448029998)"
Kent Co Regional Sports Complex #2 Concession,4000 Bay Rd,Frederica,19946.0,03/29/2022,Routine,4-302.12,Food Temperature Measuring Devices,"4000 Bay Rd
Frederica, DE 19946
(38.994886996, -75.448029998)"
Kent Co Regional Sports Complex #3 Concession,4000 Bay Rd,Frederica,19946.0,03/29/2022,Routine,4-302.12,Food Temperature Measuring Devices,"4000 Bay Rd
Frederica, DE 19946
(38.994886996, -75.448029998)"
Kent Co Regional Sports Complex Main Kitchen,4000 Bay Rd,Frederica,19946.0,03/29/2022,Routine,7-201.11,Separation-Storage,"4000 Bay Rd
Frederica, DE 19946
(38.994886996, -75.448029998)"
Kent County Secondary ILC Peak Kitchen,631 Ridgley Street,Dover,19904.0,04/12/2022,Routine,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking","631 Ridgley Street
Dover, DE 19904
(39.164360989, -75.538723029)"
Kent Sussex Industries Inc,301 N Rehoboth Blvd,Milford,19963.0,03/16/2022,Routine,5-205.15,System Maintained in Good Repair,"301 N Rehoboth Blvd
Milford, DE 19963
(38.92418602, -75.424518006)"
Kentucky Fried Chicken,112 N Dupont Hwy,New Castle,19720.0,09/21/2022,Routine,3-305.11,Food Storage-Preventing Contamination from the Premises,"112 N Dupont Hwy
New Castle, DE 19720
(39.667088012, -75.601873042)"
Kentucky Fried Chicken Taco Bell,134 N Dupont Hwy,Smyrna,19977.0,08/03/2023,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","134 N Dupont Hwy
Smyrna, DE 19977
(39.304676982, -75.605111977)"
Kentucky Fried Chicken/taco Bell,609 Naamans Rd,Claymont,19703.0,07/18/2023,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","609 Naamans Rd
Claymont, DE 19703
(39.817172987, -75.457243973)"
Keyri's Paleteria,503 South Maryland Avenue,Wilmington,19804.0,03/30/2022,Routine,4-302.13,"Temperature Measuring Devices, Manual and Mechanical Warewashing","503 South Maryland Avenue
Wilmington, DE 19804
(39.724922012, -75.591471016)"
Kfc #130045,23458 Sussex Highway,Seaford,19973.0,06/05/2023,Routine,3-307.11,Miscellaneous Sources of Contamination,"23458 Sussex Highway
Seaford, DE 19973
(38.654115986, -75.595161987)"
KFC/ Taco Bell #K071051,1925 Lancaster Avenue,Wilmington,19805.0,08/01/2022,Routine,6-301.12,Hand Drying Provision,"1925 Lancaster Avenue
Wilmington, DE 19805
(39.746963987, -75.574206978)"
Kfc/taco Bell # J130046,1 Georgetown Plaza,Georgetown,19947.0,07/15/2022,Routine,4-602.13,Nonfood Contact Surfaces,"1 Georgetown Plaza
Georgetown, DE 19947
(38.680156003, -75.395190984)"
Kick n' Chicken,907 N Dupont Hwy,Milford,19963.0,01/10/2022,Follow-up,2-102.12,Certified Food Protection Manager,"907 N Dupont Hwy
Milford, DE 19963
(38.928696992, -75.433366026)"
